date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-09,AAL,2019-02-22,35.50,Put,0.64,0.70,0.3263,-0.3960,0.1688,-0.0309,0.0270,-0.0051
2019-02-09,AAL,2019-02-22,36.00,Call,0.88,0.95,0.3193,0.5187,0.1771,-0.0333,0.0281,0.0068
2019-02-09,AAL,2019-02-22,36.00,Put,0.85,0.92,0.3204,-0.4827,0.1782,-0.0312,0.0281,-0.0060
2019-02-09,AAL,2019-02-22,36.50,Call,0.65,0.69,0.3120,0.4289,0.1785,-0.0319,0.0277,0.0057
2019-02-09,AAL,2019-02-22,36.50,Put,1.12,1.18,0.3164,-0.5718,0.1779,-0.0301,0.0275,-0.0069
2019-02-09,AAL,2019-02-22,37.50,Call,0.31,0.35,0.3046,0.2616,0.1516,-0.0256,0.0229,0.0035
2019-02-09,AAL,2019-02-22,37.50,Put,1.79,1.84,0.3114,-0.7369,0.1517,-0.0241,0.0233,-0.0081
2019-02-09,AAL,2019-02-22,38.50,Call,0.13,0.16,0.3018,0.1378,0.1035,-0.0171,0.0155,0.0018
2019-02-09,AAL,2019-02-22,38.50,Put,2.60,2.69,0.3195,-0.8527,0.1065,-0.0170,0.0166,-0.0082
2019-02-09,AAL,2019-02-22,39.50,Call,0.05,0.09,0.3151,0.0725,0.0621,-0.0111,0.0097,0.0010
2019-02-09,AAL,2019-02-22,39.50,Put,3.50,3.65,0.3442,-0.9140,0.0697,-0.0121,0.0114,-0.0075
2019-02-09,AAL,2019-02-22,41.50,Call,0.00,0.04,0.3151,0.0120,0.0140,-0.0025,0.0022,0.0002
2019-02-09,AAL,2019-02-22,41.50,Put,5.45,5.60,0.3442,-0.9901,0.0215,-0.0017,0.0022,-0.0020
2019-02-09,AAL,2019-03-08,30.50,Call,5.25,6.00,0.3959,0.9435,0.0288,-0.0100,0.0113,0.0217
2019-02-09,AAL,2019-03-08,30.50,Put,0.05,0.33,0.4164,-0.0652,0.0306,-0.0093,0.0127,-0.0019
2019-02-09,AAL,2019-03-08,32.50,Call,3.75,4.10,0.4039,0.8384,0.0608,-0.0194,0.0244,0.0201
2019-02-09,AAL,2019-03-08,32.50,Put,0.24,0.33,0.3713,-0.1433,0.0614,-0.0147,0.0236,-0.0039
2019-02-09,AAL,2019-03-08,33.50,Call,2.97,3.15,0.3718,0.7792,0.0800,-0.0214,0.0296,0.0192
2019-02-09,AAL,2019-03-08,33.50,Put,0.44,0.52,0.3665,-0.2182,0.0812,-0.0188,0.0301,-0.0058
2019-02-09,AAL,2019-03-08,34.50,Call,2.24,2.45,0.3669,0.6876,0.0968,-0.0247,0.0353,0.0172
2019-02-09,AAL,2019-03-08,34.50,Put,0.69,0.90,0.3710,-0.3148,0.0967,-0.0228,0.0349,-0.0083
2019-02-09,AAL,2019-03-08,35.50,Call,1.59,1.79,0.3516,0.5841,0.1113,-0.0258,0.0389,0.0148
2019-02-09,AAL,2019-03-08,35.50,Put,1.04,1.28,0.3604,-0.4185,0.1097,-0.0242,0.0389,-0.0108
2019-02-09,AAL,2019-03-08,36.00,Call,1.32,1.52,0.3486,0.5273,0.1145,-0.0259,0.0397,0.0135
2019-02-09,AAL,2019-03-08,36.00,Put,1.26,1.46,0.3501,-0.4746,0.1154,-0.0238,0.0397,-0.0120
2019-02-09,AAL,2019-03-08,36.50,Call,1.06,1.17,0.3296,0.4665,0.1210,-0.0244,0.0396,0.0120
2019-02-09,AAL,2019-03-08,36.50,Put,1.52,1.59,0.3307,-0.5359,0.1221,-0.0222,0.0396,-0.0132
2019-02-09,AAL,2019-03-08,37.50,Call,0.67,0.86,0.3357,0.3551,0.1112,-0.0231,0.0371,0.0092
2019-02-09,AAL,2019-03-08,37.50,Put,2.13,2.35,0.3461,-0.6432,0.1100,-0.0216,0.0368,-0.0152
2019-02-09,AAL,2019-03-08,38.50,Call,0.40,0.60,0.3380,0.2579,0.0959,-0.0201,0.0322,0.0067
2019-02-09,AAL,2019-03-08,38.50,Put,2.85,3.05,0.3419,-0.7445,0.0971,-0.0181,0.0326,-0.0163
2019-02-09,AAL,2019-03-08,39.50,Call,0.21,0.50,0.3375,0.1774,0.0773,-0.0161,0.0259,0.0047
2019-02-09,AAL,2019-03-08,39.50,Put,3.60,3.90,0.3375,-0.8296,0.0792,-0.0137,0.0262,-0.0163
2019-02-09,AAL,2019-03-08,41.50,Call,0.05,0.12,0.3182,0.0609,0.0380,-0.0070,0.0120,0.0016
2019-02-09,AAL,2019-03-08,41.50,Put,5.30,5.90,0.3443,-0.9329,0.0443,-0.0066,0.0137,-0.0128
2019-02-09,AAL,2019-03-29,30.50,Call,5.75,6.05,0.3986,0.8912,0.0355,-0.0119,0.0246,0.0351
2019-02-09,AAL,2019-03-29,30.50,Put,0.26,0.66,0.3986,-0.1088,0.0357,-0.0098,0.0242,-0.0052
2019-02-09,AAL,2019-03-29,32.50,Call,4.10,4.35,0.3800,0.7966,0.0564,-0.0162,0.0373,0.0328
2019-02-09,AAL,2019-03-29,32.50,Put,0.50,0.98,0.4128,-0.2197,0.0547,-0.0159,0.0397,-0.0105
2019-02-09,AAL,2019-03-29,33.50,Call,3.35,3.55,0.3665,0.7355,0.0677,-0.0178,0.0431,0.0309
2019-02-09,AAL,2019-03-29,33.50,Put,0.71,1.01,0.3718,-0.2679,0.0677,-0.0159,0.0430,-0.0126
2019-02-09,AAL,2019-03-29,34.50,Call,2.70,2.91,0.3670,0.6591,0.0758,-0.0196,0.0484,0.0281
2019-02-09,AAL,2019-03-29,34.50,Put,1.10,1.36,0.3753,-0.3447,0.0752,-0.0178,0.0481,-0.0159
2019-02-09,AAL,2019-03-29,35.50,Call,2.07,2.32,0.3583,0.5788,0.0828,-0.0202,0.0516,0.0250
2019-02-09,AAL,2019-03-29,35.50,Put,1.52,1.59,0.3537,-0.4233,0.0850,-0.0177,0.0514,-0.0191
2019-02-09,AAL,2019-03-29,36.00,Call,1.80,2.10,0.3596,0.5368,0.0838,-0.0205,0.0524,0.0233
2019-02-09,AAL,2019-03-29,36.00,Put,1.71,1.96,0.3600,-0.4660,0.0850,-0.0182,0.0523,-0.0208
2019-02-09,AAL,2019-03-29,36.50,Call,1.51,1.85,0.3522,0.4939,0.0859,-0.0201,0.0526,0.0216
2019-02-09,AAL,2019-03-29,36.50,Put,1.95,2.26,0.3601,-0.5082,0.0853,-0.0182,0.0523,-0.0224
2019-02-09,AAL,2019-03-29,37.50,Call,1.12,1.40,0.3483,0.4095,0.0846,-0.0192,0.0512,0.0181
2019-02-09,AAL,2019-03-29,37.50,Put,2.54,2.76,0.3494,-0.5947,0.0859,-0.0169,0.0506,-0.0252
2019-02-09,AAL,2019-03-29,38.50,Call,0.79,1.05,0.3445,0.3295,0.0797,-0.0176,0.0477,0.0147
2019-02-09,AAL,2019-03-29,38.50,Put,3.20,3.40,0.3432,-0.6774,0.0817,-0.0151,0.0469,-0.0272
2019-02-09,AAL,2019-03-29,39.50,Call,0.51,0.70,0.3294,0.2483,0.0729,-0.0146,0.0417,0.0112
2019-02-09,AAL,2019-03-29,39.50,Put,3.85,4.15,0.3305,-0.7591,0.0749,-0.0123,0.0415,-0.0281
2019-02-09,AAL,2019-03-29,41.50,Call,0.21,0.41,0.3366,0.1438,0.0511,-0.0106,0.0299,0.0065
2019-02-09,AAL,2019-03-29,41.50,Put,5.55,5.95,0.3506,-0.8564,0.0537,-0.0091,0.0312,-0.0270
2019-02-09,AAP,2019-02-15,140.00,Call,22.10,23.30,0.4488,0.9924,0.0021,-0.0247,0.0047,0.0266
2019-02-09,AAP,2019-02-15,140.00,Put,0.05,0.15,0.4488,-0.0076,0.0021,-0.0150,0.0047,-0.0002
2019-02-09,AAP,2019-02-15,145.00,Call,17.10,17.80,0.4488,0.9689,0.0070,-0.0604,0.0158,0.0268
2019-02-09,AAP,2019-02-15,145.00,Put,0.10,0.15,0.4488,-0.0311,0.0070,-0.0503,0.0158,-0.0010
2019-02-09,AAP,2019-02-15,150.00,Call,12.20,13.00,0.3309,0.9616,0.0112,-0.0544,0.0188,0.0275
2019-02-09,AAP,2019-02-15,150.00,Put,0.15,0.25,0.3688,-0.0556,0.0135,-0.0659,0.0252,-0.0018
2019-02-09,AAP,2019-02-15,155.00,Call,7.80,8.20,0.3197,0.8618,0.0307,-0.1226,0.0496,0.0253
2019-02-09,AAP,2019-02-15,155.00,Put,0.50,0.65,0.3316,-0.1464,0.0309,-0.1211,0.0522,-0.0044
2019-02-09,AAP,2019-02-15,160.00,Call,3.90,4.20,0.2945,0.6551,0.0557,-0.1815,0.0828,0.0196
2019-02-09,AAP,2019-02-15,160.00,Put,1.45,1.70,0.2955,-0.3459,0.0558,-0.1721,0.0834,-0.0100
2019-02-09,AAP,2019-02-15,165.00,Call,1.25,1.60,0.2745,0.3503,0.0600,-0.1674,0.0833,0.0106
2019-02-09,AAP,2019-02-15,165.00,Put,3.80,4.10,0.2752,-0.6513,0.0605,-0.1579,0.0820,-0.0170
2019-02-09,AAP,2019-02-15,170.00,Call,0.20,0.35,0.2542,0.1026,0.0313,-0.0742,0.0402,0.0031
2019-02-09,AAP,2019-02-15,170.00,Put,7.60,8.10,0.2650,-0.8922,0.0326,-0.0721,0.0415,-0.0176
2019-02-09,AAP,2019-02-15,175.00,Call,0.00,0.15,0.2542,0.0183,0.0078,-0.0185,0.0101,0.0006
2019-02-09,AAP,2019-02-15,175.00,Put,12.10,13.00,0.2650,-0.9852,0.0096,-0.0122,0.0093,-0.0069
2019-02-09,AAP,2019-02-15,180.00,Call,0.00,0.10,0.2542,0.0019,0.0011,-0.0025,0.0014,0.0001
2019-02-09,AAP,2019-02-15,180.00,Put,17.30,18.10,0.2650,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-02-15,185.00,Call,0.00,0.10,0.2542,0.0001,0.0001,-0.0002,0.0001,0.0000
2019-02-09,AAP,2019-02-15,185.00,Put,22.30,23.10,0.2650,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-03-15,140.00,Call,24.50,25.10,0.5015,0.8532,0.0091,-0.0909,0.1155,0.1089
2019-02-09,AAP,2019-03-15,140.00,Put,1.95,2.30,0.5077,-0.1494,0.0092,-0.0834,0.1163,-0.0234
2019-02-09,AAP,2019-03-15,145.00,Call,20.40,21.10,0.4910,0.7991,0.0114,-0.1068,0.1411,0.1044
2019-02-09,AAP,2019-03-15,145.00,Put,2.80,3.10,0.4878,-0.1999,0.0115,-0.0962,0.1408,-0.0311
2019-02-09,AAP,2019-03-15,150.00,Call,16.60,17.10,0.4713,0.7372,0.0138,-0.1177,0.1639,0.0985
2019-02-09,AAP,2019-03-15,150.00,Put,4.00,4.20,0.4720,-0.2636,0.0139,-0.1082,0.1637,-0.0406
2019-02-09,AAP,2019-03-15,155.00,Call,13.10,13.60,0.4562,0.6623,0.0159,-0.1265,0.1837,0.0902
2019-02-09,AAP,2019-03-15,155.00,Put,5.50,5.70,0.4573,-0.3389,0.0160,-0.1169,0.1828,-0.0515
2019-02-09,AAP,2019-03-15,160.00,Call,10.10,10.50,0.4445,0.5774,0.0175,-0.1310,0.1967,0.0799
2019-02-09,AAP,2019-03-15,160.00,Put,7.50,7.70,0.4485,-0.4242,0.0175,-0.1222,0.1960,-0.0633
2019-02-09,AAP,2019-03-15,165.00,Call,7.50,8.00,0.4363,0.4874,0.0182,-0.1301,0.2004,0.0684
2019-02-09,AAP,2019-03-15,165.00,Put,9.80,10.30,0.4402,-0.5141,0.0182,-0.1211,0.1996,-0.0747
2019-02-09,AAP,2019-03-15,170.00,Call,5.40,5.90,0.4285,0.3976,0.0179,-0.1230,0.1938,0.0564
2019-02-09,AAP,2019-03-15,170.00,Put,12.80,13.20,0.4350,-0.6030,0.0179,-0.1145,0.1931,-0.0850
2019-02-09,AAP,2019-03-15,175.00,Call,3.70,4.10,0.4166,0.3101,0.0169,-0.1089,0.1773,0.0445
2019-02-09,AAP,2019-03-15,175.00,Put,16.00,16.60,0.4263,-0.6888,0.0168,-0.1016,0.1791,-0.0927
2019-02-09,AAP,2019-03-15,180.00,Call,2.50,2.95,0.4154,0.2368,0.0148,-0.0947,0.1551,0.0342
2019-02-09,AAP,2019-03-15,180.00,Put,19.60,20.40,0.4183,-0.7668,0.0150,-0.0848,0.1586,-0.0964
2019-02-09,AAP,2019-03-15,185.00,Call,1.60,2.00,0.4098,0.1725,0.0124,-0.0771,0.1284,0.0251
2019-02-09,AAP,2019-03-15,185.00,Put,23.90,24.50,0.4220,-0.8261,0.0127,-0.0705,0.1344,-0.0964
2019-02-09,AAPL,2019-02-22,145.00,Call,25.30,26.05,0.4236,0.9773,0.0038,-0.0371,0.0180,0.0540
2019-02-09,AAPL,2019-02-22,145.00,Put,0.06,0.08,0.3886,-0.0149,0.0029,-0.0172,0.0125,-0.0010
2019-02-09,AAPL,2019-02-22,152.50,Call,17.90,18.55,0.3267,0.9627,0.0075,-0.0419,0.0271,0.0559
2019-02-09,AAPL,2019-02-22,152.50,Put,0.12,0.16,0.3166,-0.0330,0.0070,-0.0274,0.0246,-0.0022
2019-02-09,AAPL,2019-02-22,157.50,Call,13.30,13.55,0.2950,0.9208,0.0150,-0.0619,0.0492,0.0550
2019-02-09,AAPL,2019-02-22,157.50,Put,0.26,0.29,0.2763,-0.0664,0.0140,-0.0417,0.0434,-0.0042
2019-02-09,AAPL,2019-02-22,162.50,Call,8.75,8.90,0.2582,0.8376,0.0285,-0.0850,0.0820,0.0513
2019-02-09,AAPL,2019-02-22,162.50,Put,0.64,0.67,0.2455,-0.1507,0.0287,-0.0670,0.0811,-0.0093
2019-02-09,AAPL,2019-02-22,167.50,Call,4.80,4.95,0.2350,0.6623,0.0466,-0.1099,0.1219,0.0414
2019-02-09,AAPL,2019-02-22,167.50,Put,1.68,1.73,0.2265,-0.3337,0.0485,-0.0950,0.1232,-0.0199
2019-02-09,AAPL,2019-02-22,170.00,Call,3.25,3.35,0.2261,0.5393,0.0526,-0.1132,0.1324,0.0340
2019-02-09,AAPL,2019-02-22,170.00,Put,2.60,2.69,0.2191,-0.4621,0.0549,-0.0992,0.1326,-0.0266
2019-02-09,AAPL,2019-02-22,175.00,Call,1.22,1.26,0.2178,0.2812,0.0464,-0.0909,0.1125,0.0179
2019-02-09,AAPL,2019-02-22,175.00,Put,5.50,5.70,0.2099,-0.7317,0.0484,-0.0757,0.1097,-0.0364
2019-02-09,AAPL,2019-02-22,177.50,Call,0.68,0.71,0.2172,0.1803,0.0362,-0.0701,0.0876,0.0115
2019-02-09,AAPL,2019-02-22,177.50,Put,7.45,7.65,0.2050,-0.8422,0.0374,-0.0520,0.0828,-0.0356
2019-02-09,AAPL,2019-02-22,182.50,Call,0.20,0.23,0.2261,0.0662,0.0171,-0.0354,0.0429,0.0042
2019-02-09,AAPL,2019-02-22,182.50,Put,11.95,12.50,0.2321,-0.9388,0.0185,-0.0275,0.0437,-0.0275
2019-02-09,AAPL,2019-02-22,187.50,Call,0.08,0.11,0.2529,0.0296,0.0080,-0.0207,0.0225,0.0019
2019-02-09,AAPL,2019-02-22,187.50,Put,16.95,17.45,0.2926,-0.9563,0.0115,-0.0265,0.0319,-0.0258
2019-02-09,AAPL,2019-02-22,195.00,Call,0.02,0.05,0.2818,0.0082,0.0024,-0.0077,0.0075,0.0005
2019-02-09,AAPL,2019-02-22,195.00,Put,24.35,24.95,0.3340,-0.9875,0.0051,-0.0093,0.0114,-0.0116
2019-02-09,AAPL,2019-03-08,145.00,Call,25.90,26.15,0.3602,0.9543,0.0056,-0.0387,0.0453,0.1047
2019-02-09,AAPL,2019-03-08,145.00,Put,0.18,0.22,0.3269,-0.0321,0.0047,-0.0194,0.0340,-0.0043
2019-02-09,AAPL,2019-03-08,152.50,Call,18.60,18.90,0.3010,0.9188,0.0106,-0.0478,0.0709,0.1057
2019-02-09,AAPL,2019-03-08,152.50,Put,0.40,0.45,0.2836,-0.0697,0.0100,-0.0311,0.0631,-0.0094
2019-02-09,AAPL,2019-03-08,157.50,Call,14.00,14.25,0.2734,0.8653,0.0168,-0.0593,0.1023,0.1022
2019-02-09,AAPL,2019-03-08,157.50,Put,0.75,0.81,0.2604,-0.1239,0.0167,-0.0436,0.1011,-0.0155
2019-02-09,AAPL,2019-03-08,162.50,Call,9.75,9.95,0.2514,0.7721,0.0255,-0.0725,0.1426,0.0933
2019-02-09,AAPL,2019-03-08,162.50,Put,1.50,1.57,0.2448,-0.2231,0.0260,-0.0593,0.1459,-0.0273
2019-02-09,AAPL,2019-03-08,167.50,Call,6.15,6.35,0.2384,0.6268,0.0336,-0.0831,0.1787,0.0771
2019-02-09,AAPL,2019-03-08,167.50,Put,2.88,2.96,0.2322,-0.3727,0.0349,-0.0702,0.1795,-0.0440
2019-02-09,AAPL,2019-03-08,170.00,Call,4.70,4.85,0.2340,0.5397,0.0360,-0.0844,0.1873,0.0669
2019-02-09,AAPL,2019-03-08,170.00,Put,3.85,4.00,0.2269,-0.4629,0.0376,-0.0712,0.1874,-0.0532
2019-02-09,AAPL,2019-03-08,175.00,Call,2.45,2.52,0.2245,0.3575,0.0352,-0.0747,0.1761,0.0448
2019-02-09,AAPL,2019-03-08,175.00,Put,6.60,6.70,0.2170,-0.6540,0.0371,-0.0612,0.1734,-0.0679
2019-02-09,AAPL,2019-03-08,177.50,Call,1.67,1.76,0.2222,0.2743,0.0318,-0.0656,0.1573,0.0345
2019-02-09,AAPL,2019-03-08,177.50,Put,8.25,8.50,0.2129,-0.7438,0.0336,-0.0511,0.1556,-0.0708
2019-02-09,AAPL,2019-03-08,182.50,Call,0.73,0.77,0.2203,0.1444,0.0219,-0.0439,0.1072,0.0183
2019-02-09,AAPL,2019-03-08,182.50,Put,12.30,12.60,0.2055,-0.8878,0.0227,-0.0267,0.0942,-0.0606
2019-02-09,AAPL,2019-03-08,187.50,Call,0.32,0.36,0.2275,0.0729,0.0129,-0.0274,0.0653,0.0093
2019-02-09,AAPL,2019-03-08,187.50,Put,17.00,17.25,0.2015,-0.9726,0.0123,-0.0071,0.0337,-0.0240
2019-02-09,AAPL,2019-03-08,195.00,Call,0.11,0.14,0.2476,0.0285,0.0056,-0.0139,0.0308,0.0036
2019-02-09,AAPL,2019-03-08,195.00,Put,24.35,24.65,0.2476,-0.9922,0.0060,-0.0028,0.0130,-0.0053
2019-02-09,AAPL,2019-03-29,145.00,Call,26.35,26.70,0.3136,0.9324,0.0067,-0.0356,0.0816,0.1775
2019-02-09,AAPL,2019-03-29,145.00,Put,0.43,0.47,0.2927,-0.0556,0.0061,-0.0202,0.0700,-0.0133
2019-02-09,AAPL,2019-03-29,152.50,Call,19.40,19.65,0.2791,0.8793,0.0115,-0.0450,0.1253,0.1748
2019-02-09,AAPL,2019-03-29,152.50,Put,0.93,0.98,0.2684,-0.1125,0.0115,-0.0314,0.1225,-0.0248
2019-02-09,AAPL,2019-03-29,157.50,Call,15.05,15.35,0.2644,0.8155,0.0162,-0.0538,0.1663,0.1660
2019-02-09,AAPL,2019-03-29,157.50,Put,1.56,1.63,0.2549,-0.1775,0.0165,-0.0403,0.1617,-0.0386
2019-02-09,AAPL,2019-03-29,162.50,Call,11.15,11.40,0.2525,0.7251,0.0212,-0.0617,0.2082,0.1506
2019-02-09,AAPL,2019-03-29,162.50,Put,2.61,2.70,0.2447,-0.2713,0.0219,-0.0487,0.2050,-0.0577
2019-02-09,AAPL,2019-03-29,167.50,Call,7.75,8.00,0.2422,0.6095,0.0254,-0.0661,0.2395,0.1287
2019-02-09,AAPL,2019-03-29,167.50,Put,4.20,4.35,0.2366,-0.3921,0.0264,-0.0538,0.2418,-0.0802
2019-02-09,AAPL,2019-03-29,170.00,Call,6.30,6.50,0.2371,0.5444,0.0268,-0.0661,0.2474,0.1158
2019-02-09,AAPL,2019-03-29,170.00,Put,5.20,5.40,0.2314,-0.4599,0.0280,-0.0537,0.2474,-0.0920
2019-02-09,AAPL,2019-03-29,175.00,Call,3.95,4.10,0.2303,0.4085,0.0270,-0.0617,0.2424,0.0879
2019-02-09,AAPL,2019-03-29,175.00,Put,7.80,8.00,0.2229,-0.6033,0.0286,-0.0487,0.2383,-0.1116
2019-02-09,AAPL,2019-03-29,177.50,Call,3.00,3.15,0.2263,0.3416,0.0260,-0.0569,0.2291,0.0739
2019-02-09,AAPL,2019-03-29,177.50,Put,9.40,9.60,0.2203,-0.6733,0.0275,-0.0442,0.2280,-0.1175
2019-02-09,AAPL,2019-03-29,182.50,Call,1.68,1.78,0.2226,0.2244,0.0216,-0.0451,0.1869,0.0490
2019-02-09,AAPL,2019-03-29,182.50,Put,13.05,13.30,0.2136,-0.8012,0.0231,-0.0311,0.1769,-0.1168
2019-02-09,AAPL,2019-03-29,187.50,Call,0.88,0.96,0.2211,0.1364,0.0158,-0.0324,0.1364,0.0299
2019-02-09,AAPL,2019-03-29,187.50,Put,17.30,17.60,0.2091,-0.8999,0.0170,-0.0174,0.1105,-0.0922
2019-02-09,AAPL,2019-03-29,195.00,Call,0.34,0.39,0.2265,0.0616,0.0086,-0.0183,0.0759,0.0136
2019-02-09,AAPL,2019-03-29,195.00,Put,24.40,24.70,0.2265,-0.9660,0.0101,-0.0070,0.0506,-0.0445
2019-02-09,ABBV,2019-02-22,70.00,Call,9.35,10.10,0.3255,0.9811,0.0091,-0.0131,0.0072,0.0262
2019-02-09,ABBV,2019-02-22,70.00,Put,0.03,0.07,0.3178,-0.0167,0.0084,-0.0073,0.0065,-0.0005
2019-02-09,ABBV,2019-02-22,71.50,Call,8.05,8.60,0.3255,0.9595,0.0171,-0.0206,0.0136,0.0261
2019-02-09,ABBV,2019-02-22,71.50,Put,0.06,0.09,0.3178,-0.0371,0.0163,-0.0141,0.0126,-0.0012
2019-02-09,ABBV,2019-02-22,74.00,Call,5.40,6.10,0.1625,0.9910,0.0096,-0.0073,0.0038,0.0281
2019-02-09,ABBV,2019-02-22,74.00,Put,0.14,0.17,0.2750,-0.0783,0.0341,-0.0220,0.0228,-0.0025
